tweet_id,text,created_at,author_id,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count
1749591842096820345,"@pino_27s 多大な努力の末とは思いますが
これだけ纏められる力
ギフテッドです！
いつの世も天才は生きづらいのです",2024-01-23 00:36:15+00:00,983871927260295170,0,1,1,0,0,34
1749588681592377558,"もりかけスピン
減税スピン
芸能スピン

地震、選別移民、ギフテッド育成、土地強奪、臓器移植

ざ・ま・あ🤣",2024-01-23 00:23:42+00:00,1466494522851233792,0,0,1,0,0,147
1749586501229568039,"■#2024年1月25日終了のKindleセールbyキンセリ

【期間限定無料】講談社 単刀直入に申し上げますが 頭のイイ男が好きなんです特集 (1/12〜1/25)

📘ギフテッド
📙キスは10年たってから
📕ゆびさきと恋々
📖十角館の殺人
📗沼すぎてもはや恋
📘世界の果ては深愛
📙僕らの…
https://t.co/49buf4201G",2024-01-23 00:15:02+00:00,786008486949769216,0,0,0,0,0,1855
1749578719533142429,ギフテッドは天才じゃなくて良いですよ。,2024-01-22 23:44:06+00:00,1554959748570959872,0,0,0,0,0,28
1749578013875032493,@Brother_Nobu_2 @pentaxxx 塾の成績はよいけれど感情の起伏が激しく反抗的で学年崩壊を引き起こした首謀者ですが、本番の中学受験では落ちまくり、そんな自分の娘を指して「ギフテッドだから」と娘が抱える問題をギフテッドのせいにし他人にかけた迷惑を一切反省しなかった親を思い出しました💧,2024-01-22 23:41:18+00:00,1279993312250785792,0,0,0,0,0,105
1749577072979439852,ギフテッドじゃないADHDのポスト、上司が早朝出勤で雑務してくるのうざいし、サビ残や気配りも当たり前のことだしほんとにADHDなんだなって感じで苦い顔しちゃう,2024-01-22 23:37:34+00:00,1210547381839679489,0,1,2,0,0,119
1749575917910056991,"せっせと月給数十万で酒飲んでギャンブルして、しょーもない女と遊んでるギフテッドなら俺知ってる。

#ブーメラン芸人
#ギフテッド芸人
#あたおかりゅう
#チン凸 https://t.co/Ib3qzG5Qf3",2024-01-22 23:32:59+00:00,1631636195146088449,0,0,3,0,0,155
1749572415150285156,お前らみたいにギフテッドの社不じゃないから分からないけどコード書いてると時間忘れるとかないけど、RAFTで流れてる資源無限に集めたりCreate Modで謎機械を無限に作ったりMinecraftで木を無限に切ったりはしてるよ(ただのアスペ),2024-01-22 23:19:03+00:00,805452912033820673,0,0,0,0,0,71
1749571501232357447,"ブードゥ教で呪われた人…こんなオーラと死相だった気がする…エチオピア？だったかな…。なんだか縁起悪い感じ…共感覚では…
#共感覚 #ギフテッド
 https://t.co/GLvqvXtR1a",2024-01-22 23:15:26+00:00,1650643427955179520,0,1,0,1,1,454
1749571435570635056,夢でまっすーとデートしてた🥰ギフテッドのピンクの衣装みたいな私服で、美的の雑誌が欲しくて本屋に寄って、あったよーって見せてた🥰でも美的があと2冊しかなくてゲットしたはずがお会計時に違う雑誌に変わってて、誰かにすり替えられててゲットできひんかったというオチ。美的の100の質問は何月号？,2024-01-22 23:15:10+00:00,1276878760105533441,0,0,0,0,0,45
1749571222499905786,"@iti_apple おぉ…すごい。頭の回転も早いんだろうなぁ
この間NHKでギフテッドの特集を見たけど、IQ高くても低くても大変すぎると思ってた🥲",2024-01-22 23:14:19+00:00,135870607,0,1,1,0,0,66
1749569690748514631,"映画、窓ぎわのトットちゃんを観た👀😁🙏✨黒柳徹子さんの幼少期を描いたもので、いまでいう今で言うギフテッドをアニメ化した興味深い作品だった👍

#映画 
#窓ぎわのトットちゃん 
#黒柳徹子 
#ギフテッド
#アニメ https://t.co/JwK92pntx8",2024-01-22 23:08:14+00:00,1621008789632851968,0,0,8,0,0,143
1749568371933446280,"外国に住んでいるギフテッドが不登校にあまりならないのを不思議に感じていた。
実際、米の学校に行くと先生のポジティブさが異なる。
日本で何校もインターも日本の学校も見たが、日本式に変えられている事が多かった。
日本式が悪いと言う訳ではなく、ただそれはギフテッドは合わないのだと感じた。",2024-01-22 23:02:59+00:00,1141710470304321539,0,0,9,0,0,317
1749566583733997765,"VR作品や科学の世界で賞を受賞し、小学5年で「孫正義育英財団」2期生に合格した、苦手(ディスグラフィア)と得意(#ギフテッド)が激しい高校生 #森下礼智 さんの著書『#苦手と得意が激しい僕が好きなことを見つけたら毎日が楽しくなり将来が見えてきた』 がぶどう社より刊行。
https://t.co/Y4NR6XGsZn https://t.co/e7RCNUJkQM",2024-01-22 22:55:53+00:00,826306256671383554,0,0,0,0,0,165
1749564607625408620,"#HSP #ギフテッド
あなたの脳内ホルモンはどこから？

僕は、ドーパミンから。🧠

というわけで同志の皆様、
※脳内ホルモン出して頑張りましょ。

セロトニンもチャージしましょ",2024-01-22 22:48:02+00:00,1642907627918364672,0,0,0,0,0,54
1749562988749803584,"娘、知育教室の知能テストIQ110以上、幼稚園の検査時IQ120後半、この前検査受けたらIQ120後半。発達異常ほぼみられず。
私の感じる違和感、同年齢で浮いている、圧倒的育てにくさはこれか〜ギフテッド（IQ130以上）以下だけど、私の認知を変えていくしかねえなぁ",2024-01-22 22:41:36+00:00,252370206,0,1,2,0,0,231
1749560396271260119,"突出した子を集めた英才教育に挫折　「IQだけじゃない」学園の教訓

《私自身、IQ130以上の「ギフテッド」な子どもでしたが、小学校時代を振り返ると、学校に行くのが嫌、友達と遊ぶより本読んでいたい…と散々だったなあと》

長島美紀さん【#コメントプラス 一押し】
https://t.co/tjG1q6gyxK",2024-01-22 22:31:18+00:00,1395253231236784133,0,0,1,0,0,101
