,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18,Factor19,Factor20,Factor21,Factor22,Factor23,Factor24
15　 論理的に説明されても、納得しにくい。,-0.020645636942750734,0.09310003545554028,-0.07371668290705442,-0.005783418093106461,0.07540169367650719,0.3926989952720257,0.22661147346823357,0.0252565038829874,0.01977852687189325,-0.013468946054876172,-0.04058769420783136,-0.07747258457447537,0.009290747894531553,-0.16620626718514853,-0.001394427415554755,0.02990228044749946,-5.985906737756222e-05,0.025741279003758034,0.016927441389486694,-0.003352823537949797,-0.021469242837638562,0.1211356009354275,0.3685767937597275,0.06181733906341019
16　 他人と一定の距離を取る。,0.05535987110543136,0.3933061024023181,-0.07344701375824766,-0.07704062325665446,-0.10088099895227823,-0.009604857372372015,0.15777743960800164,-0.05925151453025022,0.014080987750251807,-0.05475334915385719,-0.08931206474922192,-0.10516315899691366,0.09006742693054698,0.22103971341025638,0.3219483220319311,-0.00840627513111957,0.06688657183136543,-0.032396504286013955,0.025761676784484554,-0.005722821454602261,-0.08082601662752709,-0.12311802648913177,0.007800699957542669,-0.03384563851722696
17　 他人に好かれたいと思っている。,-0.08725026035006143,0.22470893616547158,0.32427594375121077,-0.027575821080341754,0.04432665399451959,0.05055717155034337,-0.06655722136924014,-0.018465416662979593,-0.20371391147963358,-0.24993926910537298,-0.06407134231014568,0.17547182756040244,-0.04730354504745525,0.11827639661612403,0.1786771433270106,0.06617456849589214,0.07302388448773678,0.020453451598356754,0.026909327266647142,0.17043364016167814,0.10180955070533788,0.0017429668807405051,0.029958342370313213,-0.10456973260766185
18　 自分の利益を最優先する。,0.2650043816785933,0.04556133672351123,-0.016551634903104566,0.04365154457939214,0.02313356959121722,0.12791661752772052,0.023323100535622917,0.17348540013566868,-0.037781203165191186,0.3727663354179146,0.0025083106397287627,-0.03433829007773943,0.10225594502920085,0.08437943422839257,0.04142426911195986,0.017058177079107277,0.1446019450204212,0.02669618255400468,0.24638847460999327,0.028839074590196023,-0.21582639985033647,-0.020791118582087056,-0.19815383823956753,-0.056677073581440036
19　 新しいアイデアを考えるのが大好きだ。,-0.00917490954960238,0.1182141318441684,-0.06976960900326318,0.6539536769907819,0.16498819994329514,0.21958845623133774,-0.17268409001321997,0.1136809551059014,-0.06502432001571866,-0.024016727493094837,0.09288902412988108,0.0003325927319587231,0.04057114811498812,-0.04501464415438761,0.0025355944810013208,-0.02732069527123682,-0.037181561066983594,-0.005294615990677988,-0.06756925822803798,-0.008054829975740918,0.026750815269445248,0.03541265402468943,0.07743819522875905,0.018673128385947074
20　 完璧でない仕事には納得がいかない。,-0.13649817461130384,0.06703935811948825,0.03738085070902127,0.029977412392055133,0.6526952642617271,0.03283524793707192,-0.029819824835106555,-0.06498963358331174,0.009582177258624489,-0.013049332653850077,-0.006909142431556122,0.0037526127484884125,0.04292136845085867,-0.04784376560577632,-0.06213645478972306,0.02264710777420379,-0.040237739794076764,0.03287947248192844,-0.0231283694026949,0.05239226564869109,-0.08727235299810285,-0.008532946006502218,-0.04547716897161056,-0.07934325813789646
21　 自分が整理したものを他人が変えるとイライラする。,0.4140815871380975,0.03108464986199975,-0.045444987730709895,-0.04544041574520589,-0.27142107825883566,0.09517562510586984,0.0586548184850059,0.024977590160067203,0.0015598915136450554,-0.009763697537371384,-0.07709845613046563,-0.04206008603249343,0.03343220558911839,0.11323909753563025,0.11251559018730646,-0.036374624338830014,-0.05999471921693041,0.04698820647689772,0.04316309718133186,-0.3154869503376546,-0.08578831053023202,0.008462649836163983,0.07461838894687337,0.01886845142109289
22　 グループに参加するのが楽しい。,0.1205028341372583,0.639841890539598,-0.05526548845649519,0.006607739347152891,0.10418833146601561,0.13318849251247342,-0.034925186652445116,-0.012823125828699758,-0.0793011679517249,-0.06939894873691743,-0.013105132327608559,-0.033941853329559644,-0.039802312218627525,0.19761388151642154,0.10750213752030938,-0.008534096112595204,-0.028068492951126442,0.08601271573831977,0.05047007427376642,-0.034578293581896256,0.10972511231240277,-0.005100423456481559,0.04624911970014113,-0.045332068044949804
23　 頻繁に誰かの助けを必要とする。,-0.026026490252880723,0.02723723742574924,0.21561261623875463,-0.01959670917061608,-0.07356575450622546,0.01680804107009123,-0.10116676072531204,-0.0983701597603625,-0.1599931460770188,-0.17134046221970742,-0.0692858574634727,0.06450056072072798,0.031067509109841976,0.43514974947074797,0.04291281533893088,-0.24451223473856307,-0.1565808500649863,-0.063193563834577,0.09013311412663916,-0.040062281277718104,-0.024138369508672066,0.06377886531520133,0.10829446378237642,0.20862006667611419
24　 社会的地位を求める。,0.04396399157078054,-0.10348807636563338,-0.010479002348175266,-0.13473325143955373,-0.15407127208179966,-0.10226883945004145,0.05354165338504587,0.22249008962311714,0.10201517454347715,0.6290315562534353,0.05635439400549876,0.011156098396358193,-0.09560407044367616,-0.10568381385704997,-0.046859506855463785,-0.024750768684073794,0.06531805153716937,0.0739113883740103,0.017066917298175256,0.015748285114240843,0.02135060535720328,-0.044359645326547834,-0.09502367767093572,-0.015016958517055016
